食譜名稱,作者,圖片,份數,料理時間,食材,食材數量,料理步驟
"
清炒桂竹筍
",Apple Lin,https://img-global.cpcdn.com/recipes/7e87fa8300bb973c/751x532cq70/%E6%B8%85%E7%82%92%E6%A1%82%E7%AB%B9%E7%AD%8D-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,na,"
 20分
      ","桂竹筍600g
蒜碎4瓣
小辣椒1根
胡椒粉2小匙
蠔油2大匙
鹽適量
","





",1.桂竹筍洗淨分切成自己習慣的大小2.起油鍋爆香蒜頭跟辣椒，炒至香味出來後加入桂竹筍略炒至有筍香3.加入其他調味料拌勻試味道即可完成起鍋！
"
萌萌的「香菇鬆餅」蜂蜜滋味可愛又可口。
",Popo Huang,https://img-global.cpcdn.com/recipes/71fa2c9cced3df1a/751x532cq70/%E8%90%8C%E8%90%8C%E7%9A%84%E3%80%8C%E9%A6%99%E8%8F%87%E9%AC%86%E9%A4%85%E3%80%8D%E8%9C%82%E8%9C%9C%E6%BB%8B%E5%91%B3%E5%8F%AF%E6%84%9B%E5%8F%88%E5%8F%AF%E5%8F%A3-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 3人份
  ","
 10分鐘
      ","鬆餅粉
雞蛋
牛奶
蜂蜜
黑芝麻
沙拉油
","100 g
1 顆
50 cc
1.5 大匙
1.5 大匙
少許
","1.將雞蛋、蜂蜜、牛奶攪拌均勻，倒入鬆餅粉拌勻後加入黑芝麻拌一拌備用。2.使用Vitantonio鬆餅機放上杯子蛋糕烤盤(上凹下圓)抹上些許油後預熱，倒入1/3麵糊稍微凝固時插上棒狀營養口糧蓋上蓋子烤約2分鐘。3.我讓孩子幫忙插上棒狀營養口糧及取出烤好的香菇鬆餅。4.一群可愛的「香菇鬆餅」是不是很萌~~~~
每一口都是芝麻與蜂蜜的香氣，真的很好吃唷!!!5.如果家中有Bruno多功能電烤盤也能製作唷~~
詳細食譜 : https://popo320pig.pixnet.net/blog/post/472811129"
"
豬肉丸子（晚餐配菜）
",懶懶的廚房筆記,https://img-global.cpcdn.com/recipes/44f6f004b5ec8ab8/751x532cq70/%E8%B1%AC%E8%82%89%E4%B8%B8%E5%AD%90%E6%99%9A%E9%A4%90%E9%85%8D%E8%8F%9C-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 約3人份
  ","
 約10分鐘
      ","豬絞肉
太白粉
白胡椒粉
老薑
蔥
蒜頭
鹽
砂糖
冰水
","200 g








",1.將老薑、蔥切絲泡到冰水裡（變蔥薑水），蒜頭切末，拿果汁壺材料陸續放入，先蔥薑水＞蒜末＞太白粉＞白胡椒＞砂糖＞鹽，蓋上蓋子打成醬汁，蔥、薑、蒜皆為小顆粒即可倒出備用。（本來擔心失敗就忘記拍了）2.果汁壺倒入絞肉（要是已經完全解凍的，要拿去冷凍再冰約15分鐘左右，影片老師說的，不然肉容易過熟，只能做肉餅），再加入約1/3份打好的醬汁（分3次），轉2次瞬轉，拿湯匙或筷子上下攪拌一下，再加一次醬汁，再2次瞬轉＋1次轉速『1』1分鐘，再次上下攪拌，再加完醬汁，再2次瞬轉＋1次轉速『2』1分鐘，打完約粉紅麵糊，沒肉塊顆粒。3.準備一鍋冷水，用中小火開始煮，邊煮水邊挖丸子進鍋中，丸子全下好後，轉中大火煮滾，煮到雜質變略少後撈出，放入冰水泡10分鐘即可。（吃不完可以冰冷凍）4.晚餐義大利麵醬汁煮好後，加入豬肉丸子煮到上色後，加入煮好的義大利麵，攪拌到均勻上色即可。（這邊我就簡單帶過囉～）
"
香椿炒蛋
",安安廚房,https://img-global.cpcdn.com/recipes/8ce67cc68d1b8762/751x532cq70/%E9%A6%99%E6%A4%BF%E7%82%92%E8%9B%8B-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,na,Na,"香椿葉子四把
蛋兩顆
鹽巴適量
味精少許
","



",1.首先將香椿葉洗淨後切碎🌿2.接著在碗裡打入兩顆雞蛋🥚並把切碎的香椿葉放入其中，再用筷子🥢攪拌均勻3.將鍋子熱油後，將蛋液倒入炒鍋並稍微繞圈，讓蛋液平均分佈於鍋內，待煎熟後就大功告成✅
"
蛤蠣白菜魚片粥
",@TITAS,https://img-global.cpcdn.com/recipes/7f554a41ce57f233/751x532cq70/%E8%9B%A4%E8%A0%A3%E7%99%BD%E8%8F%9C%E9%AD%9A%E7%89%87%E7%B2%A5-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 2人份
  ","
 30分
      ","鯛魚片半盒
蛤蜊八顆
娃娃菜一條
胡蘿蔔少許
薑油
自製蔥油
白胡椒粉
鰹魚粉
一合米
水
","









",1.米先洗過，水滾了加米，加蛤蜊。把殼拿起來，等米粒煮開了，加娃娃菜還有魚片，其他調味料調味，完成。
"
氣炸舒芙蕾
",Bobo Hou,https://img-global.cpcdn.com/recipes/0780762d2ac92ed3/751x532cq70/%E6%B0%A3%E7%82%B8%E8%88%92%E8%8A%99%E8%95%BE-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 4人份
  ","
 190度8分鐘
      ","蛋黃糊
️⃣蛋×2
️⃣低筋麵粉20g
️⃣牛奶50g
️⃣細砂糖40g
抹烤模
️⃣奶油少許
️⃣細砂糖少許
️⃣糖粉少許
","
1
2
3
4

1
2
3
",1.準備好材料，首先將模具塗上奶油及砂糖2.做蛋黃糊，將2顆蛋黃和些許砂糖攪拌，然後加入過篩低筋麵粉後和蛋黃糊攪拌均勻3.加入牛奶攪拌到均勻4.打發蛋白，分3次加入砂糖，打到濕性發泡5.先挖3分之1蛋白到蛋黃糊里拌勻後，蛋黃糊倒入蛋白全部拌勻6.倒入烤模，約7-8分滿，可做4杯，再放入氣炸鍋烤190度8分鐘7.出爐唷！太膨就歪樓，但很快又消回去。撒點糖粉。趁熱快吃，空氣感十足。
"
泡菜牛肉筆管麵
",Bonbala,https://img-global.cpcdn.com/recipes/742891e1a1eaa3ff/751x532cq70/%E6%B3%A1%E8%8F%9C%E7%89%9B%E8%82%89%E7%AD%86%E7%AE%A1%E9%BA%B5-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,na,Na,"．筆尖麵切條
．牛肉片
．泡菜
．花椰菜
","



",1.煮熟筆管麵，切成條狀備用。2.熱鍋小火乾煎牛肉，牛肉自帶油花，所以沒有放油。牛肉表面微焦即可。3.加入泡菜，拌炒至牛肉上色均勻。4.想要多吃點蔬菜，加入花椰菜跟筆管麵一起拌炒。加點水等花椰菜收水變軟，即可盛盤。
"
蒜香鮭魚排
",Miller,https://img-global.cpcdn.com/recipes/a761e5a5edcb8a80/751x532cq70/%E8%92%9C%E9%A6%99%E9%AE%AD%E9%AD%9A%E6%8E%92-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,na,Na,"鮭魚輪切
奶油
蒜頭
黑胡椒
鹽
米酒
","1 片
適量
4 瓣
適量
適量
適量
",1.蒜頭切末2.鮭魚洗淨，將表面的水以餐巾紙壓乾後，兩面抹上薄鹽及撒黑胡椒，並加入蒜末、米酒醃製約30分鐘3.鍋中加入奶油，待溶化後將醃製好的鮭魚放入鍋中，煎3分鐘後翻面4.煎至兩面金黃即可起鍋享用
"
地瓜燒
",瑞珊王,https://img-global.cpcdn.com/recipes/a8d7b937cb7930a6/751x532cq70/%E5%9C%B0%E7%93%9C%E7%87%92-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 3人份
  ","
 60分中
      ","地瓜
麵粉
奶油
牛奶
雞蛋
肉桂粉
","300 g
200 g
30 g
50 g
2 顆
適量
",1.地瓜削皮切片放入電鍋，外鍋一杯水蒸熟，趁熱加入50cc牛奶攪勻2.雞蛋打均勻加入過篩麵粉，攪打後再加入奶油攪拌成糰3.取適當大小桿成圖1，放入地瓜泥再包成圖34.包好地瓜球沾上適量肉桂粉，再捏成地瓜型狀，放入預熱180度烤箱，烤約20分鍾即完成
"
香椿拌豆腐
",北美liuliu,https://img-global.cpcdn.com/recipes/0cbd698a032bea6b/751x532cq70/%E9%A6%99%E6%A4%BF%E6%8B%8C%E8%B1%86%E8%85%90-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 2人份
  ","
 10 分鐘
      ","香椿嫩芽
豆腐
調味料:
醬油1/2大匙
烏醋1/2大匙
細砂糖1/2小匙
麻油
","1 把
1 塊




適量
","1.1.豆腐用冷開水沖乾淨，放入滾水汆燙1分鐘取出備用。
2.新鮮摘下香椿芽沖洗乾，放入滾水汆燙1分鐘取出備用。
3.香椿芽汆燙後再切成細末，豆腐切小塊。2.1.將所有調味料放入小碗中攪拌均勻。
2.將香椿末放在豆腐上,淋上調味料即可"
"
拔絲起司地瓜
",小玉,https://img-global.cpcdn.com/recipes/4dc1aed65dfa33cc/751x532cq70/%E6%8B%94%E7%B5%B2%E8%B5%B7%E5%8F%B8%E5%9C%B0%E7%93%9C-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 4人份
  ","
 30分鐘
      ","地瓜3條
起司絲
細砂糖
蜂蜜
奶油
","
1 大把
1 t
1 t
少許
",1.將地瓜洗淨蒸熟備用2.地瓜去皮後用叉子壓成泥，拌入少許細砂糖及蜂蜜3.容器塗上少許奶油後，將地瓜泥平舖入容器，上面灑上起司絲，放入烤箱烤至起司絲融化，表面呈金黃色即可
"
馬鈴薯沙拉
",郝自由,na,na,Na,"馬鈴薯
鮪魚關頭（水煮）
沙拉醬
玉米粒
紅蘿蔔絲
","




",1.馬鈴薯去皮切塊2.蒸熟馬鈴薯3.將蒸熟的馬鈴薯壓成泥4.加入其他材料5.完成
"
鳳梨炒苦瓜
",陳美惠,https://img-global.cpcdn.com/recipes/02bcda80d838aaff/751x532cq70/%E9%B3%B3%E6%A2%A8%E7%82%92%E8%8B%A6%E7%93%9C-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 3+1份
  ","
 10分鐘
      ","苦瓜250g（切塊）
金鑽鳳梨120g（切片）
嫩薑3片（切絲）
米酒少許
甘醇醬油1/2匙
冰糖少許
","





",1.鍋子放少許油，開火 ，下薑絲煸炒，下苦瓜翻炒，少許鹽，1碗水蓋上鍋蓋燜煮約6分鐘，下鳳梨 ，冰糖，醬油，再煮2分鐘，即完成
"
醬煮雞腿
",葉慧萍,https://img-global.cpcdn.com/recipes/6a1fbce88896fbac/751x532cq70/%E9%86%AC%E7%85%AE%E9%9B%9E%E8%85%BF-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,na,Na,"雞腿切塊一份
芥蘭菜去硬皮一份
蘑菇切大塊一份
鷹嘴豆熟的一份
紅蘿蔔切片適量
白芝麻適量
鹽巴少許
胡椒少許
醬油適量
薑片適量
","









",1.雞腿塊用鹽巴胡椒抓醃一下，也可以前一天準備。2.芥蘭菜用少許水蒸熟鋪在盤子上備用。3.鍋子加少許油炒雞腿、紅蘿蔔跟薑片。4.加蘑菇炒一下，加醬油胡椒調味，加少許水悶熟雞腿肉，加鷹嘴豆及芝麻。5.起鍋連醬汁淋在接芥蘭菜上，蛋白質蔬菜澱粉都有了，開動！
"
氣炸鍋料理Cheese馬鈴薯
",Kit.CHEN 小廚娘 Chloe,https://img-global.cpcdn.com/recipes/ead7f0c91c1dd155/751x532cq70/%E6%B0%A3%E7%82%B8%E9%8D%8B%E6%96%99%E7%90%86-cheese%E9%A6%AC%E9%88%B4%E8%96%AF-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 2人份
  ","
 30分鐘
      ","馬鈴薯
盬、黑胡椒、羅勒（不一定）
cheese
","4 顆
少許

",1.先用叉子將馬鈴薯戳洞，然後起一鍋水蓋過馬鈴薯，加熱水滾5分鐘後，關火悶蓋（然後我就去切菜了...），等菜切完再回來。2.將馬鈴薯切片，加少許鹽、黑胡椒、羅勒（不一定要加）調味，最後舖上cheese片，然後送入氣炸鍋，180度5分鐘即可。（目的是融化cheese跟增加一點乾的口感）
"
聚集會
",版圖,https://img-global.cpcdn.com/recipes/05a7c0fbbd8de2ad/751x532cq70/%E8%81%9A%E9%9B%86%E6%9C%83-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,na,Na,"豆皮
","
",1.將竹筍ˊ (o^^o) 現編輯中 有4道 陸續 發表
"
陽光贈與～素豆仔乾粥
",素了愿,https://img-global.cpcdn.com/recipes/baf55c490a52b662/751x532cq70/%E9%99%BD%E5%85%89%E8%B4%88%E8%88%87%EF%BD%9E%E7%B4%A0%E8%B1%86%E4%BB%94%E4%B9%BE%E7%B2%A5-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 5人
  ","
 45 分鐘
      ","豆仔乾6條
滑菇酌量
絲瓜
鴻禧菇
雪白菇
金針菇
红蘿蔔
乾香菇
芹菜
生米一碗
素料
","










",1.
"
Tha-má-tòo封、蕃茄封
",Tshuà Bûn-lī,https://img-global.cpcdn.com/recipes/757f5e9ccd04157a/751x532cq70/tha-ma-too%E5%B0%81%E8%95%83%E8%8C%84%E5%B0%81-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 2 人
  ","
 5 分鐘
      ","已經熟ê肉丸仔2粒
Tha-má-tòo
","
2 粒
","1.Tha-má-tòo kā phuà thâu, （把蕃茄剖開頭）Lāi-té bah óo--óo-tiāu. （內底肉挖挖掉。）2.Bah-uân-á tsinn--lueh.（肉丸仔塞進去）3.Tiān-ko 5 hun-tsing tshue-tshue--leh. （電鍋蒸5分鐘）Hó--ah! （好了）"
"
番茄炒蛋🍅
",泰斯懶人食譜。,https://img-global.cpcdn.com/recipes/1f29d042037f3487/751x532cq70/%E7%95%AA%E8%8C%84%E7%82%92%E8%9B%8B%F0%9F%8D%85-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 2人份
  ","
 10分鐘
      ","顆番茄
顆雞蛋
調味料
番茄醬2大匙
醬油一大匙
鹽巴2小匙
","3
4




",1.先把番茄去蒂頭，切小塊。2.蛋加入一大匙水、一搓鹽巴，再打散。3.先加3大匙油熱鍋，蛋下去炒至7分熟，撈起來備用。4.原鍋再下一大湯匙油，熱了之後把番茄放下去煎，先不要急著炒，不然會亂噴，放1分鐘之後再開始炒，炒到番茄出水。5.加入鹽巴、醬油、番茄醬、一大湯匙的水，再倒入剛剛炒好的蛋，拌炒一下，就可以起鍋囉。
"
清炒小松菜
",胖少女自煮生活,https://img-global.cpcdn.com/recipes/35d7227f1d280920/751x532cq70/%E6%B8%85%E7%82%92%E5%B0%8F%E6%9D%BE%E8%8F%9C-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 2人份
  ","
 10分鐘
      ","麻油
薑絲
鹽
水
小松菜
","適量
適量
適量
適量

",1.小松菜買回來後，洗淨切半備用。2.冷鍋時加入麻油，鍋燒熱後放入薑絲拌炒煸香。3.煸香後，放入小松菜拌炒，加入適量的水，因爲小松菜會出水，切記不要加太多水！4.蓋鍋燜煮一會，變深綠色後加入適量鹽拌炒，即可完成。
"
油菜炒肉絲
",陳美惠,https://img-global.cpcdn.com/recipes/aa92ceffd63fd32a/751x532cq70/%E6%B2%B9%E8%8F%9C%E7%82%92%E8%82%89%E7%B5%B2-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 3+1份
  ","
 10分
      ","油菜1包（250g)
嫩薑3片（切絲）
蒜2粒（切末）
豬肉絲100g
沙茶少許
地瓜粉少許
鹽少許
米酒少許
","







",1.油菜洗淨切段，約4公分。肉絲用少許沙茶，地瓜粉抓勻。2.鍋子放少許油，下肉絲略炒後起鍋 鍋子擦拭下少許油。下薑絲蒜末煸香，下半碗水煮滾 ，下油菜跟部先下 ，下半匙米酒翻炒。下葉子肉絲，翻炒葉子變翠綠即完成。
"
素食蒼蠅頭(方便素)(簡單料理)(低碳生酮餐)
",Sophie廚坊,https://img-global.cpcdn.com/recipes/8bc5e2da024685c1/751x532cq70/%E7%B4%A0%E9%A3%9F%E8%92%BC%E8%A0%85%E9%A0%AD%E6%96%B9%E4%BE%BF%E7%B4%A0%E7%B0%A1%E5%96%AE%E6%96%99%E7%90%86%E4%BD%8E%E7%A2%B3%E7%94%9F%E9%85%AE%E9%A4%90-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 4人份
  ","
 10分鐘
      ","小豆干
韭菜花
蒜頭
黑豆跂
醬油
料酒
料理油
清水
","6 塊
1/2 把
2 瓣
2 大匙
1 大匙
適量
適量
1/2 小碗
",1.豆干洗淨，每一片切4*4小粒備用。2.韭菜花洗淨，切約0.5公分長度備用。3.黑豆跂過水瀝乾切碎，蒜頭切末。
"
椒鹽雞翅
",Charlotte,https://img-global.cpcdn.com/recipes/76eb031006ca9652/751x532cq70/%E6%A4%92%E9%B9%BD%E9%9B%9E%E7%BF%85-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 4人份
  ",Na,"公斤
太白粉
蒜
辣椒
蔥
椒鹽粉
醃料
紹興酒
蒜碎
薑碎
鹽
黑胡椒
","1.5
1 杯
3-4 瓣
2 個
1 隻
1 小匙

1 杯
1 大匙
1 大匙
1 小匙
1 小匙
",1.雞翅以醃料醃至少二小時，或至過夜2.辣椒，大蒜切碎，蔥切花，雞翅沾上太白粉3.油鍋 160 度，炸約 5 分鐘或至金黃色，起鍋放在網架或是紙巾濾掉多餘的油4.平底鍋，熱油加入蒜碎，辣椒碎和蔥花炒香後加入雞翅，炒約 2 分鐘後加入椒鹽粉，炒約 1 分後起鍋
